Age,Gender,Watched emotional movie in last 12 months,Movie/Book that affected you most recently,How many times watched,When watched most recently,The storytelling in this movie was emotionally powerful.,The story made me feel strong emotions.,The emotional moments felt genuine and realistic.,The characters' emotional experiences were clearly expressed.,The story focused strongly on characters' feelings and relationships.,I feel attached to the characters in this movie.,I still think about this movie or its characters after watching it.,I would like to watch this movie again in the future.,I would recommend this movie to others.,This movie has a special place in my memory compared to other movies.,Emotional Storytelling Score,Audience Attachment Score
18–20,Female,Yes,Pride and Prejudice,More than 3 times,More than 6 months ago,3,5,3,4,2,1,3,3,3,2,3.4,2.4
24 or above,Male,Yes,Casablanca,1 time,Within last 1 month,3,3,3,4,4,4,4,3,2,4,3.4,3.4
21–23,Male,Yes,Like Father Like Son,1 time,1–6 months ago,2,2,3,2,2,4,2,2,3,3,2.2,2.8
21–23,Prefer not to say,Yes,Manchester by the Sea,1 time,Within last 1 month,3,3,3,2,2,4,2,3,3,2,2.6,2.8
Under 18,Prefer not to say,Yes,Cinderella,2–3 times,1–6 months ago,5,5,4,5,5,4,4,5,4,5,4.8,4.4
21–23,Female,Yes,The Pursuit of Happyness,1 time,1–6 months ago,5,3,5,5,4,4,4,2,4,4,4.4,3.6
21–23,Female,Yes,A Beautiful Mind,More than 3 times,1–6 months ago,5,4,5,4,5,2,3,3,2,4,4.6,2.8
21–23,Female,Yes,Short Term 12,2–3 times,1–6 months ago,4,5,5,5,5,5,5,4,4,4,4.8,4.4
24 or above,Female,Yes,The Theory of Everything,1 time,1–6 months ago,3,3,4,5,4,3,4,4,3,4,3.8,3.6
24 or above,Female,Yes,American Beauty,2–3 times,1–6 months ago,5,4,4,3,3,5,4,3,5,5,3.8,4.4
21–23,Female,Yes,Call Me by Your Name,1 time,More than 6 months ago,5,4,5,3,5,5,5,5,5,5,4.4,5.0
21–23,Male,Yes,Spotlight,More than 3 times,1–6 months ago,4,2,5,3,3,4,3,3,4,5,3.4,3.8
24 or above,Female,Yes,Fried Green Tomatoes,2–3 times,1–6 months ago,4,4,4,4,3,4,3,2,3,3,3.8,3.0
Under 18,Prefer not to say,Yes,Finding Nemo,2–3 times,1–6 months ago,4,4,4,5,4,3,3,5,3,4,4.2,3.6
24 or above,Male,Yes,The Banshees of Inisherin,1 time,1–6 months ago,4,5,4,3,5,3,5,4,4,5,4.2,4.2
24 or above,Male,Yes,Casablanca,2–3 times,More than 6 months ago,4,4,4,5,5,2,3,3,4,3,4.4,3.0
21–23,Male,Yes,A Beautiful Mind,1 time,More than 6 months ago,3,4,4,4,4,3,2,4,3,3,3.8,3.0
Under 18,Female,Yes,Porco Rosso,2–3 times,1–6 months ago,4,5,3,5,4,2,3,4,3,3,4.2,3.0
21–23,Female,Yes,If Beale Street Could Talk,1 time,1–6 months ago,3,4,2,4,2,1,3,3,1,1,3.0,1.8
18–20,Female,Yes,10 Things I Hate About You,1 time,More than 6 months ago,5,5,5,5,4,4,4,5,5,4,4.8,4.4
21–23,Male,Yes,No Country for Old Men,1 time,1–6 months ago,5,4,5,5,5,5,5,4,5,2,4.8,4.2
21–23,Female,Yes,Beasts of No Nation,1 time,More than 6 months ago,4,4,5,4,4,3,4,5,5,3,4.2,4.0
18–20,Prefer not to say,Yes,All the Bright Places,2–3 times,Within last 1 month,4,5,5,5,5,4,4,3,5,5,4.8,4.2
24 or above,Male,Yes,Steel Magnolias,2–3 times,Within last 1 month,4,5,5,5,5,3,3,3,3,4,4.8,3.2
21–23,Female,Yes,Yi Yi,1 time,Within last 1 month,3,4,4,3,3,4,3,3,3,4,3.4,3.4
21–23,Male,Yes,Hachi A Dog's Tale,2–3 times,1–6 months ago,5,5,4,5,5,4,4,4,4,5,4.8,4.2
24 or above,Male,Yes,Midnight Cowboy,2–3 times,More than 6 months ago,4,4,5,5,5,5,5,5,4,5,4.6,4.8
24 or above,Female,Yes,The Hours,More than 3 times,1–6 months ago,4,4,4,3,4,4,5,4,3,4,3.8,4.0
24 or above,Female,Yes,Shadowlands,1 time,1–6 months ago,5,5,4,4,5,2,4,4,5,4,4.6,3.8
24 or above,Female,Yes,The Barbarian Invasions,1 time,1–6 months ago,2,2,1,2,3,2,1,2,2,2,2.0,1.8
18–20,Female,Yes,The Hunger Games,1 time,More than 6 months ago,4,5,5,4,4,2,4,5,4,4,4.4,3.8
24 or above,Male,Yes,Come and See,2–3 times,More than 6 months ago,4,4,5,4,5,4,3,4,4,4,4.4,3.8
21–23,Male,Yes,A Beautiful Mind,2–3 times,1–6 months ago,5,4,5,4,4,2,3,2,4,3,4.4,2.8
21–23,Male,Yes,Never Let Me Go,2–3 times,Within last 1 month,5,4,5,5,5,5,5,5,4,5,4.8,4.8
24 or above,Male,Yes,Fanny and Alexander,More than 3 times,1–6 months ago,3,3,4,3,5,2,4,3,3,3,3.6,3.0
21–23,Male,Yes,Boyhood,1 time,1–6 months ago,3,5,3,5,5,4,4,4,4,4,4.2,4.0
21–23,Male,Yes,Pride and Prejudice,1 time,1–6 months ago,4,4,3,5,3,4,4,4,4,3,3.8,3.8
24 or above,Female,Yes,Cast Away,1 time,1–6 months ago,5,4,4,4,5,5,4,5,4,5,4.4,4.6
24 or above,Female,Yes,The Green Mile,2–3 times,Within last 1 month,4,3,2,3,1,3,3,3,4,2,2.6,3.0
18–20,Female,Yes,The Notebook,2–3 times,Within last 1 month,3,4,3,3,3,3,4,4,3,4,3.2,3.6
24 or above,Female,Yes,Gone with the Wind,2–3 times,More than 6 months ago,5,5,4,5,5,4,3,4,5,5,4.8,4.2
21–23,Male,Yes,Lion,2–3 times,1–6 months ago,5,5,5,4,5,5,2,3,5,4,4.8,3.8
21–23,Male,Yes,Pride and Prejudice,2–3 times,Within last 1 month,4,3,5,3,5,3,2,4,3,3,4.0,3.0
21–23,Female,Yes,Moonlight,2–3 times,Within last 1 month,3,4,2,1,3,3,4,3,3,3,2.6,3.2
21–23,Male,Yes,Before Sunrise,2–3 times,1–6 months ago,5,4,4,5,5,5,5,4,4,5,4.6,4.6
21–23,Male,Yes,Inception,2–3 times,More than 6 months ago,2,2,4,2,2,3,3,2,3,3,2.4,2.8
21–23,Female,Yes,A Silent Voice,1 time,1–6 months ago,4,4,4,5,4,5,5,5,5,4,4.2,4.8
18–20,Female,Yes,Five Feet Apart,2–3 times,1–6 months ago,5,4,2,4,4,4,5,4,4,4,3.8,4.2
18–20,Female,Yes,The Breakfast Club,1 time,1–6 months ago,5,4,4,4,4,4,4,4,4,4,4.2,4.0
18–20,Female,Yes,A Silent Voice,2–3 times,Within last 1 month,4,3,3,3,4,2,1,2,2,2,3.4,1.8
21–23,Male,Yes,Marriage Story,2–3 times,Within last 1 month,4,2,4,2,5,2,4,4,3,1,3.4,2.8
24 or above,Female,Yes,Life is Beautiful,2–3 times,1–6 months ago,4,4,3,3,3,5,5,3,5,4,3.4,4.4
24 or above,Male,Yes,A Little Life,2–3 times,Within last 1 month,4,5,5,4,5,4,4,5,3,3,4.6,3.8
24 or above,Female,Yes,Amour,1 time,Within last 1 month,5,5,3,5,4,4,4,4,5,5,4.4,4.4
24 or above,Male,Yes,Terms of Endearment,1 time,More than 6 months ago,3,5,4,5,3,3,3,5,5,2,4.0,3.6
24 or above,Female,Yes,12 Years a Slave,1 time,1–6 months ago,1,1,3,1,1,2,2,1,1,1,1.4,1.4
24 or above,Female,Yes,The Joy Luck Club,1 time,More than 6 months ago,5,4,3,5,5,3,4,4,4,4,4.4,3.8
18–20,Female,Yes,All the Bright Places,2–3 times,More than 6 months ago,4,4,3,5,4,3,3,5,5,5,4.0,4.2
21–23,Female,Yes,Blue Is the Warmest Colour,More than 3 times,Within last 1 month,5,5,4,5,5,4,5,4,4,5,4.8,4.4
18–20,Male,Yes,Her,2–3 times,More than 6 months ago,3,3,2,2,3,1,1,3,2,3,2.6,2.0
21–23,Female,Yes,Atonement,2–3 times,Within last 1 month,5,4,5,4,3,4,4,5,4,5,4.2,4.4
21–23,Female,Yes,Pride and Prejudice,1 time,More than 6 months ago,5,5,4,5,4,4,4,3,5,5,4.6,4.2
21–23,Male,Yes,Forrest Gump,1 time,1–6 months ago,5,5,3,5,5,5,4,5,4,4,4.6,4.4
24 or above,Female,Yes,Brief Encounter,1 time,Within last 1 month,4,5,3,3,5,4,2,3,4,4,4.0,3.4
21–23,Female,Yes,Moonlight,2–3 times,More than 6 months ago,5,4,5,5,4,5,4,5,4,3,4.6,4.2
24 or above,Female,Yes,Still Alice,2–3 times,Within last 1 month,5,5,5,5,3,5,5,5,4,4,4.6,4.6
18–20,Female,Yes,Marriage Story,More than 3 times,Within last 1 month,3,3,3,3,3,3,2,3,4,3,3.0,3.0
24 or above,Female,Yes,Casablanca,More than 3 times,More than 6 months ago,2,3,3,3,4,2,2,3,3,5,3.0,3.0
24 or above,Female,Yes,Ida,2–3 times,1–6 months ago,4,3,2,2,2,4,2,2,2,3,2.6,2.6
24 or above,Male,Yes,Truly Madly Deeply,2–3 times,1–6 months ago,3,2,2,3,2,2,2,2,3,2,2.4,2.2
18–20,Prefer not to say,Yes,Wonder,2–3 times,Within last 1 month,2,2,1,1,3,1,1,1,2,2,1.8,1.4
21–23,Prefer not to say,Yes,Decision to Leave,1 time,Within last 1 month,2,3,2,2,3,3,4,3,3,3,2.4,3.2
24 or above,Male,Yes,Brokeback Mountain,2–3 times,Within last 1 month,5,5,3,3,4,5,4,5,4,5,4.0,4.6
18–20,Male,Yes,La La Land,2–3 times,1–6 months ago,4,3,4,3,4,3,3,3,4,4,3.6,3.4
24 or above,Female,Yes,The Savages,More than 3 times,More than 6 months ago,2,1,1,1,2,1,2,3,3,2,1.4,2.2
18–20,Male,Yes,After We Collided,More than 3 times,1–6 months ago,4,4,5,5,4,3,3,4,4,5,4.4,3.8
18–20,Prefer not to say,Yes,The Notebook,1 time,Within last 1 month,1,2,3,3,2,3,2,1,3,2,2.2,2.2
18–20,Male,Yes,Joker,2–3 times,Within last 1 month,4,4,5,4,3,4,3,4,4,3,4.0,3.6
21–23,Male,Yes,Waves,2–3 times,More than 6 months ago,4,4,3,3,3,2,4,2,4,3,3.4,3.0
21–23,Male,Yes,First Reformed,1 time,1–6 months ago,1,1,1,1,3,1,1,1,1,1,1.4,1.0
21–23,Female,Yes,Nomadland,1 time,1–6 months ago,3,4,4,4,5,2,5,3,3,3,4.0,3.2
Under 18,Female,Yes,Inside Out,1 time,More than 6 months ago,2,2,2,3,2,1,1,1,2,2,2.2,1.4
24 or above,Female,Yes,Cast Away,2–3 times,Within last 1 month,4,3,4,2,3,5,3,3,2,4,3.2,3.4
24 or above,Male,Yes,The English Patient,2–3 times,Within last 1 month,3,4,3,3,4,3,4,3,3,5,3.4,3.6
Under 18,Female,Yes,The Lion King,2–3 times,1–6 months ago,5,5,5,3,5,4,4,4,5,2,4.6,3.8
21–23,Male,Yes,Little Women,More than 3 times,More than 6 months ago,2,1,3,4,2,3,4,1,2,3,2.4,2.6
21–23,Male,Yes,Before Sunset,2–3 times,Within last 1 month,5,4,4,5,5,5,5,3,4,3,4.6,4.0
21–23,Female,Yes,Your Name,2–3 times,1–6 months ago,4,4,5,4,4,5,3,4,5,4,4.2,4.2
24 or above,Female,Yes,Midnight Cowboy,1 time,Within last 1 month,5,3,4,4,5,5,5,5,5,4,4.2,4.8
18–20,Female,Yes,Dear John,1 time,Within last 1 month,3,4,2,4,4,5,3,4,4,5,3.4,4.2
18–20,Female,Yes,Never Let Me Go,1 time,Within last 1 month,4,4,2,4,3,2,3,3,2,1,3.4,2.2
24 or above,Male,Yes,Terms of Endearment,2–3 times,More than 6 months ago,5,5,5,4,5,3,4,5,5,4,4.8,4.2
21–23,Female,Yes,Pan's Labyrinth,2–3 times,More than 6 months ago,5,5,5,5,5,4,5,4,3,3,5.0,3.8
24 or above,Male,Yes,Dirty Dancing,2–3 times,Within last 1 month,2,3,4,3,5,3,3,4,4,3,3.4,3.4
24 or above,Prefer not to say,Yes,A Little Life,1 time,Within last 1 month,4,4,4,3,4,4,3,4,3,2,3.8,3.2
21–23,Female,Yes,Before Sunrise,1 time,More than 6 months ago,5,5,3,4,4,3,3,4,4,5,4.2,3.8
24 or above,Male,Yes,Titanic,More than 3 times,More than 6 months ago,5,3,3,4,3,5,4,2,4,4,3.6,3.8
24 or above,Male,Yes,The English Patient,2–3 times,1–6 months ago,4,5,4,4,4,2,4,5,3,5,4.2,3.8
24 or above,Female,Yes,Cast Away,1 time,More than 6 months ago,4,3,3,3,3,4,5,3,3,2,3.2,3.4
21–23,Female,Yes,Room,2–3 times,Within last 1 month,5,4,3,4,3,5,3,4,3,3,3.8,3.6
24 or above,Female,Yes,The Notebook,1 time,Within last 1 month,5,4,4,5,5,3,5,3,5,4,4.6,4.0
Under 18,Female,Yes,Toy Story 3,More than 3 times,More than 6 months ago,2,3,3,3,3,4,2,3,4,3,2.8,3.2
18–20,Female,Yes,Good Will Hunting,2–3 times,Within last 1 month,4,4,4,4,5,4,4,3,5,4,4.2,4.0
24 or above,Female,Yes,Out of Africa,More than 3 times,Within last 1 month,5,5,5,4,5,4,5,4,3,5,4.8,4.2
21–23,Prefer not to say,Yes,The Florida Project,1 time,More than 6 months ago,3,4,3,4,4,4,4,3,4,4,3.6,3.8
Under 18,Female,Yes,Song of the Sea,2–3 times,1–6 months ago,5,4,5,5,4,5,3,4,3,3,4.6,3.6
21–23,Male,Yes,Nobody Knows,2–3 times,More than 6 months ago,3,5,5,4,4,5,5,5,5,4,4.2,4.8
21–23,Female,Yes,The Kite Runner,1 time,1–6 months ago,4,2,4,4,3,3,3,5,3,3,3.4,3.4
21–23,Male,Yes,Room,More than 3 times,Within last 1 month,3,3,4,4,4,4,3,4,5,5,3.6,4.2
21–23,Female,Yes,The Boy in the Striped Pyjamas,2–3 times,Within last 1 month,4,4,5,3,3,2,3,3,3,4,3.8,3.0
21–23,Male,Yes,Schindler's List,1 time,More than 6 months ago,2,3,3,4,2,3,3,4,1,3,2.8,2.8
18–20,Male,Yes,Where the Crawdads Sing,2–3 times,Within last 1 month,5,4,5,5,5,3,4,2,4,5,4.8,3.6
Under 18,Male,Yes,Matilda,More than 3 times,Within last 1 month,3,2,3,2,1,2,4,1,2,2,2.2,2.2
18–20,Female,Yes,Superbad,1 time,Within last 1 month,3,2,5,5,2,4,4,3,4,3,3.4,3.6
21–23,Female,Yes,Brooklyn,2–3 times,1–6 months ago,5,5,5,5,4,3,4,3,4,4,4.8,3.6
21–23,Female,Yes,First Reformed,2–3 times,Within last 1 month,3,3,3,4,3,4,4,3,5,5,3.2,4.2
24 or above,Female,Yes,Wild Strawberries,1 time,1–6 months ago,5,5,5,4,5,4,5,4,5,3,4.8,4.2
24 or above,Female,Yes,Wild Strawberries,1 time,Within last 1 month,1,1,2,1,2,1,1,1,1,2,1.4,1.2
21–23,Female,Yes,Brokeback Mountain,1 time,Within last 1 month,1,1,1,1,1,1,3,1,1,2,1.0,1.6
21–23,Male,Yes,Short Term 12,2–3 times,1–6 months ago,4,4,5,5,5,3,4,5,5,4,4.6,4.2
21–23,Male,Yes,Forrest Gump,2–3 times,1–6 months ago,4,3,3,3,2,3,3,2,3,2,3.0,2.6
18–20,Male,Yes,La La Land,2–3 times,Within last 1 month,5,5,5,4,5,4,5,4,4,4,4.8,4.2
21–23,Female,Yes,Yi Yi,1 time,1–6 months ago,3,2,4,3,2,3,3,2,2,4,2.8,2.8
Under 18,Male,Yes,Turning Red,More than 3 times,Within last 1 month,2,3,4,3,4,4,2,4,4,3,3.2,3.4
Under 18,Male,Yes,Inside Out,More than 3 times,Within last 1 month,3,3,3,3,3,3,2,4,5,3,3.0,3.4
18–20,Male,Yes,The Breakfast Club,2–3 times,1–6 months ago,4,4,3,4,4,4,3,5,4,5,3.8,4.2
Under 18,Male,Yes,Porco Rosso,2–3 times,1–6 months ago,3,3,1,2,3,2,1,1,1,1,2.4,1.2
18–20,Male,Yes,Clueless,More than 3 times,1–6 months ago,1,1,3,3,1,2,1,2,1,3,1.8,1.8
21–23,Male,Yes,Short Term 12,2–3 times,More than 6 months ago,5,5,4,5,5,3,4,5,3,4,4.8,3.8
24 or above,Female,Yes,The Way We Were,1 time,Within last 1 month,5,5,4,5,4,4,5,5,5,5,4.6,4.8
21–23,Female,Yes,Rocketman,More than 3 times,1–6 months ago,3,3,2,4,4,3,3,3,3,2,3.2,2.8
21–23,Female,Yes,A Ghost Story,More than 3 times,1–6 months ago,3,3,3,2,2,4,3,3,3,4,2.6,3.4
21–23,Male,Yes,A Beautiful Mind,2–3 times,1–6 months ago,2,5,4,5,5,3,4,4,3,4,4.2,3.6
24 or above,Male,Yes,Three Billboards Outside Ebbing Missouri,1 time,More than 6 months ago,4,4,5,5,5,4,5,5,3,5,4.6,4.4
24 or above,Male,Yes,When Harry Met Sally,1 time,Within last 1 month,3,4,2,3,3,2,3,2,2,4,3.0,2.6
24 or above,Female,Yes,Midnight Cowboy,1 time,More than 6 months ago,4,3,2,4,3,4,3,3,3,2,3.2,3.0
24 or above,Male,Yes,The Joy Luck Club,1 time,1–6 months ago,4,4,4,4,5,4,4,4,4,4,4.2,4.0
24 or above,Male,Yes,Never Let Me Go,2–3 times,1–6 months ago,4,5,3,4,4,4,4,5,4,5,4.0,4.4
21–23,Prefer not to say,Yes,Portrait of a Lady on Fire,2–3 times,More than 6 months ago,4,4,4,5,3,3,3,3,3,3,4.0,3.0
21–23,Female,Yes,No Country for Old Men,1 time,1–6 months ago,5,4,5,4,5,5,4,5,5,4,4.6,4.6
21–23,Male,Yes,In the Mood for Love,1 time,1–6 months ago,4,2,4,5,3,4,3,5,3,3,3.6,3.6
21–23,Female,Yes,Nobody Knows,2–3 times,1–6 months ago,3,3,3,2,1,2,3,1,3,3,2.4,2.4
24 or above,Male,Yes,Million Dollar Baby,1 time,Within last 1 month,2,3,1,1,1,3,2,3,2,3,1.6,2.6
18–20,Female,Yes,Love Simon,1 time,Within last 1 month,4,2,3,4,2,3,4,2,3,2,3.0,2.8
24 or above,Female,Yes,Kramer vs. Kramer,2–3 times,Within last 1 month,5,5,4,4,4,5,5,4,5,4,4.4,4.6
24 or above,Male,Yes,Fanny and Alexander,2–3 times,1–6 months ago,3,3,5,2,5,4,3,3,3,2,3.6,3.0
21–23,Female,Yes,Before Midnight,2–3 times,1–6 months ago,4,4,3,4,4,3,5,3,2,3,3.8,3.2
24 or above,Female,Yes,The Sweet Hereafter,2–3 times,Within last 1 month,5,4,4,4,2,4,2,3,3,4,3.8,3.2
21–23,Male,Yes,Still Walking,1 time,1–6 months ago,2,4,2,3,2,3,2,3,2,2,2.6,2.4
18–20,Male,Yes,Five Feet Apart,2–3 times,More than 6 months ago,5,4,3,4,3,5,5,5,5,5,3.8,5.0
18–20,Female,Yes,Five Feet Apart,2–3 times,More than 6 months ago,3,4,4,4,3,3,4,4,3,4,3.6,3.6
21–23,Male,Yes,Interstellar,1 time,1–6 months ago,4,5,5,4,5,5,4,5,5,4,4.6,4.6
21–23,Male,Yes,Never Let Me Go,1 time,1–6 months ago,4,5,5,4,4,5,5,5,4,5,4.4,4.8
24 or above,Male,Yes,Notting Hill,1 time,More than 6 months ago,4,5,3,3,5,5,3,5,3,5,4.0,4.2
Under 18,Female,Yes,Kung Fu Panda,2–3 times,Within last 1 month,3,3,4,4,2,2,4,4,3,3,3.2,3.2
24 or above,Male,Yes,Schindler's List,More than 3 times,More than 6 months ago,5,5,5,4,4,4,5,5,5,5,4.6,4.8
24 or above,Female,Yes,Steel Magnolias,More than 3 times,1–6 months ago,5,4,3,3,4,4,4,4,3,2,3.8,3.4
18–20,Female,Yes,Little Women,More than 3 times,Within last 1 month,4,4,5,4,4,4,4,5,4,3,4.2,4.0
21–23,Female,Yes,Eternal Sunshine of the Spotless Mind,2–3 times,Within last 1 month,5,4,3,4,5,3,4,5,3,3,4.2,3.6
24 or above,Male,Yes,Affliction,1 time,Within last 1 month,4,4,4,3,4,4,3,5,5,5,3.8,4.4
18–20,Female,Yes,Love Simon,More than 3 times,Within last 1 month,1,2,1,1,1,1,2,2,1,1,1.2,1.4
21–23,Male,Yes,There Will Be Blood,More than 3 times,Within last 1 month,4,5,5,5,4,4,4,5,3,5,4.6,4.2
21–23,Male,Yes,Pan's Labyrinth,2–3 times,More than 6 months ago,3,4,3,3,4,4,4,3,4,4,3.4,3.8
21–23,Prefer not to say,Yes,In the Mood for Love,1 time,Within last 1 month,5,4,5,5,4,4,3,4,4,3,4.6,3.6
24 or above,Female,Yes,The Elephant Man,2–3 times,Within last 1 month,4,4,4,3,4,4,5,4,5,4,3.8,4.4
24 or above,Female,Yes,Never Let Me Go,1 time,1–6 months ago,3,3,3,5,4,3,4,2,2,3,3.6,2.8
Under 18,Female,Yes,Song of the Sea,More than 3 times,1–6 months ago,5,3,4,4,5,3,3,4,4,4,4.2,3.6
21–23,Female,Yes,Nobody Knows,2–3 times,1–6 months ago,1,2,1,2,2,2,1,1,1,2,1.6,1.4
24 or above,Female,Yes,Mystic River,1 time,1–6 months ago,4,4,5,4,5,2,5,5,4,4,4.4,4.0
21–23,Male,Yes,Shoplifters,1 time,Within last 1 month,3,4,5,5,5,5,4,4,4,4,4.4,4.2
18–20,Female,Yes,Love Simon,1 time,Within last 1 month,5,4,3,3,4,3,4,3,2,3,3.8,3.0
24 or above,Male,Yes,Titanic,1 time,Within last 1 month,3,3,3,3,4,4,5,4,5,3,3.2,4.2
21–23,Female,Yes,Boyhood,More than 3 times,1–6 months ago,4,5,3,5,5,4,4,3,4,4,4.4,3.8
24 or above,Female,Yes,Past Lives,2–3 times,Within last 1 month,4,4,3,3,5,3,3,5,4,5,3.8,4.0
24 or above,Male,Yes,Eleanor Oliphant is Completely Fine,1 time,1–6 months ago,3,2,3,5,2,3,3,2,3,4,3.0,3.0
21–23,Male,Yes,Eternal Sunshine of the Spotless Mind,More than 3 times,Within last 1 month,2,2,2,2,3,2,2,2,4,1,2.2,2.2
18–20,Male,Yes,Moonlight,2–3 times,1–6 months ago,4,5,5,3,5,4,3,3,5,4,4.4,3.8
24 or above,Female,Yes,Affliction,2–3 times,More than 6 months ago,4,3,3,5,4,2,3,3,3,3,3.8,2.8
Under 18,Female,Yes,Spirited Away,1 time,Within last 1 month,5,5,5,4,4,4,5,4,4,5,4.6,4.4
18–20,Male,Yes,Clueless,1 time,More than 6 months ago,4,5,3,4,5,5,5,5,5,3,4.2,4.6
24 or above,Male,Yes,Fried Green Tomatoes,1 time,Within last 1 month,3,2,1,2,3,3,3,2,3,3,2.2,2.8
21–23,Female,Yes,Burning,1 time,More than 6 months ago,5,4,4,3,4,5,4,3,4,4,4.0,4.0
21–23,Female,Yes,A Silent Voice,1 time,1–6 months ago,5,4,4,4,5,4,3,5,5,5,4.4,4.4
24 or above,Prefer not to say,Yes,Shadowlands,1 time,More than 6 months ago,5,4,5,4,4,2,5,4,4,5,4.4,4.0
18–20,Female,Yes,Everything Everywhere All at Once,2–3 times,Within last 1 month,4,4,5,4,3,3,4,3,4,4,4.0,3.6
18–20,Male,Yes,About Time,1 time,Within last 1 month,4,5,5,4,4,4,4,4,5,4,4.4,4.2
24 or above,Female,Yes,Eleanor Oliphant is Completely Fine,More than 3 times,1–6 months ago,5,4,4,4,5,5,3,3,4,5,4.4,4.0
18–20,Male,Yes,Five Feet Apart,More than 3 times,1–6 months ago,4,4,4,5,5,3,5,2,4,4,4.4,3.6
21–23,Male,Yes,Interstellar,More than 3 times,Within last 1 month,3,3,2,5,3,5,4,4,3,4,3.2,4.0
18–20,Female,Yes,Eighth Grade,1 time,More than 6 months ago,5,4,2,5,5,4,4,4,4,5,4.2,4.2
21–23,Male,Yes,The Pianist,More than 3 times,Within last 1 month,4,4,5,3,3,3,3,3,4,4,3.8,3.4
24 or above,Male,Yes,Ghost,More than 3 times,1–6 months ago,2,4,1,3,3,4,3,3,3,3,2.6,3.2
18–20,Female,Yes,A Silent Voice,2–3 times,More than 6 months ago,2,2,4,3,2,2,3,4,4,2,2.6,3.0
21–23,Female,Yes,Drive My Car,2–3 times,More than 6 months ago,2,3,4,2,3,2,3,3,3,2,2.8,2.6
24 or above,Prefer not to say,Yes,The Way We Were,2–3 times,More than 6 months ago,5,4,3,3,3,2,5,4,4,4,3.6,3.8
21–23,Male,Yes,Arrival,More than 3 times,Within last 1 month,5,5,4,4,3,5,3,5,5,5,4.2,4.6
24 or above,Female,Yes,A Man Called Ove,1 time,More than 6 months ago,4,5,3,4,4,5,4,3,4,3,4.0,3.8
21–23,Female,Yes,The Shawshank Redemption,1 time,More than 6 months ago,4,3,4,4,4,3,3,3,4,4,3.8,3.4
18–20,Female,Yes,Legally Blonde,1 time,Within last 1 month,4,4,3,4,5,5,2,4,2,2,4.0,3.0
21–23,Male,Yes,Like Father Like Son,2–3 times,Within last 1 month,5,5,5,4,3,5,5,5,4,1,4.4,4.0
24 or above,Female,Yes,The Shawshank Redemption,2–3 times,More than 6 months ago,4,5,5,5,4,5,4,5,4,4,4.6,4.4
Under 18,Female,Yes,Ernest and Celestine,2–3 times,1–6 months ago,5,4,2,4,3,3,4,4,2,5,3.6,3.6
21–23,Female,Yes,The Father,2–3 times,1–6 months ago,5,5,4,4,5,3,3,5,4,4,4.6,3.8
18–20,Female,Yes,Titanic,1 time,More than 6 months ago,4,4,3,5,3,4,5,3,3,4,3.8,3.8
21–23,Prefer not to say,Yes,The Florida Project,2–3 times,Within last 1 month,3,4,2,4,2,3,2,2,2,4,3.0,2.6
21–23,Female,Yes,Never Let Me Go,2–3 times,1–6 months ago,3,5,4,3,4,5,4,3,4,3,3.8,3.8
18–20,Male,Yes,P.S. I Love You,1 time,Within last 1 month,4,3,3,1,3,4,2,4,1,4,2.8,3.0
Under 18,Female,Yes,How to Train Your Dragon,1 time,Within last 1 month,5,3,3,4,2,2,2,1,2,2,3.4,1.8
Under 18,Female,Yes,Brave,2–3 times,1–6 months ago,4,2,3,5,3,4,3,3,2,2,3.4,2.8
24 or above,Female,Yes,The Shawshank Redemption,1 time,Within last 1 month,4,3,3,3,4,2,3,4,3,4,3.4,3.2
18–20,Female,Yes,10 Things I Hate About You,2–3 times,Within last 1 month,4,5,4,5,5,4,5,3,5,5,4.6,4.4
21–23,Female,Yes,Decision to Leave,1 time,1–6 months ago,4,5,3,4,4,4,3,2,4,4,4.0,3.4
21–23,Female,Yes,The Kite Runner,More than 3 times,1–6 months ago,2,3,3,2,2,4,3,2,4,3,2.4,3.2
24 or above,Male,Yes,Sense and Sensibility,1 time,More than 6 months ago,3,4,2,3,4,4,4,4,3,3,3.2,3.6
21–23,Male,Yes,Lion,2–3 times,Within last 1 month,5,5,5,5,5,5,4,3,5,5,5.0,4.4
24 or above,Prefer not to say,Yes,The Book Thief,2–3 times,Within last 1 month,2,2,2,1,3,1,1,1,2,2,2.0,1.4
21–23,Male,Yes,Grave of the Fireflies,1 time,Within last 1 month,5,5,5,5,4,5,5,4,4,4,4.8,4.4
24 or above,Female,Yes,Ghost,1 time,Within last 1 month,5,4,5,5,4,3,3,4,4,2,4.6,3.2
18–20,Female,Yes,Eighth Grade,More than 3 times,Within last 1 month,4,4,4,4,2,4,4,4,4,4,3.6,4.0
18–20,Male,Yes,Love Simon,2–3 times,Within last 1 month,4,5,3,4,5,4,5,5,5,4,4.2,4.6
18–20,Male,Yes,Everything Everywhere All at Once,More than 3 times,More than 6 months ago,2,2,2,1,2,1,2,2,2,1,1.8,1.6
21–23,Male,Yes,Nomadland,1 time,1–6 months ago,3,4,3,4,5,3,3,3,3,5,3.8,3.4
Under 18,Female,Yes,The Cat Returns,More than 3 times,Within last 1 month,4,4,5,5,5,3,5,3,3,1,4.6,3.0
Under 18,Female,Yes,Encanto,More than 3 times,1–6 months ago,5,5,4,4,5,5,3,4,5,4,4.6,4.2
